Tool	Platform	Citations	MainCategories	SubCategories	Description	DOI	Journal	Status	Code	Added	Updated	Maintained	Methodology	Omics	Date	License	Activity	Responsiveness	DateSort	Stars	Abstract	Dependency	Baseline	Title	Methscore	Sequencingscore	Reviewscore	Preprint	Dataset	Reference	Tissue
Dictys	Python	0	regulatory network inference	regulatory network inference (gene-gene)	A dynamic GRN inference and analysis method which leverages multi-omic single-cell assays of chromatin accessibility and gene expression, context specific transcription factor (TF) footprinting, stochastic process network, and efficient probabilistic modeling of scRNA-seq read counts.	10.1101/2022.09.14.508036	Preprint	Preprint	https://github.com/pinellolab/dictys	2022.11.22	2022.11.22	2020.11.10	stochastic process model, probabilistic programming, dynamic network	CAS	2022.09.14	AGPL-3	1.147234519033210	29.89414351851850	2	26	Gene regulatory networks (GRNs) are key determinants of cell function and identity and are dynamically rewired during development and disease. Despite decades of advancement, challenges remain in GRN inference: dynamic rewiring, causal inference, feedback-loop modeling, and context specificity. To address them, we develop Dictys, a dynamic GRN inference and analysis method which leverages multi-omic single-cell assays of chromatin accessibility and gene expression, context specific transcription factor (TF) footprinting, stochastic process network, and efficient probabilistic modeling of scRNA-seq read counts. Dictys improves GRN reconstruction accuracy and reproducibility and enables the inference and comparative analysis of context specific and dynamic GRNs across developmental contexts. Dictys’ network analyses recover unique insights in human blood and mouse skin development with cell-type specific and dynamic GRNs. Its dynamic network visualizations enable time-resolved discovery and investigation of developmental driver TFs and their regulated targets. Dictys is available as a free, open source, and user-friendly Python package.	bedtools, ffmpeg, matplotlib, pyDNase, torch, homer, MACS2, samtools	SCENIC, CellOracle	Dictys: dynamic gene regulatory network dissects developmental continuum with single-cell multi-omics	58.64224716	31.21412093	10.67603565	10.1101/2022.09.14.508036	2	Wang L, Trasanidis N, Wu T, Dong G, Hu M, Bauer DE, Pinello L. Dictys: dynamic gene regulatory network dissects developmental continuum with single-cell multi-omics. bioRxiv. 2022 Jan 1.	None
Guo2022	Python, R	1	review	review (cell type annotation)	A review evaluates the classification performance of 6 well-known machine learning methods on scATAC-seq.	10.1186/s12859-022-04774-z	BMC Bioinformatics	Published	https://github.com/mrcuizhe/scATAC-MachineLearning-benchmarking	2022.11.22	2022.11.22	2021.01.12	not applicable	CAS	2022.09.21	None	0		2	5	Background: The technologies advances of single-cell Assay for Transposase Accessible Chromatin using sequencing (scATAC-seq) allowed to generate thousands of single cells in a relatively easy and economic manner and it is rapidly advancing the understanding of the cellular composition of complex organisms and tissues. The data structure and feature in scRNA-seq is similar to that in scATAC-seq, therefore, it’s encouraged to identify and classify the cell types in scATAC-seq through traditional supervised machine learning methods, which are proved reliable in scRNA-seq datasets. Results: In this study, we evaluated the classification performance of 6 well-known machine learning methods on scATAC-seq. A total of 4 public scATAC-seq datasets vary in tissues, sizes and technologies were applied to the evaluation of the performance of the methods. We assessed these methods using a 5-folds cross validation experiment, called intra-dataset experiment, based on recall, precision and the percentage of correctly predicted cells. The results show that these methods performed well in some specific types of the cell in a specific scATAC-seq dataset, while the overall performance is not as well as that in scRNA-seq analysis. In addition, we evaluated the classification performance of these methods by training and predicting in different datasets generated from same sample, called inter-datasets experiments, which may help us to assess the performance of these methods in more realistic scenarios. Conclusions: Both in intra-dataset and in inter-dataset experiment, SVM and NMC are overall outperformed others across all 4 datasets. Thus, we recommend researchers to use SVM and NMC as the underlying classifier when developing an automatic cell-type classification method for scATAC-seq.	Not Applicable	SVM, kNN, RF, LDA, NMC, Decision tree	Evaluation of classification in single cell atac-seq data with machine learning methods	11.82556818	9.15936636	9.071950093	None	4	Guo H, Yang Z, Jiang T, Liu S, Wang Y, Cui Z. Evaluation of classification in single cell atac-seq data with machine learning methods. BMC bioinformatics. 2022 Dec;23(5):1-2.	None
Zhou2019	C++, R	19	cross-omics translation	cross-omics translation (scRNA-seq, scATAC-seq)	A review shows that one can globally predict chromatin accessibility and infer regulatory element activities using RNA-seq.	10.1093/nar/gkz716	Nucleic Acids Research	Published	https://github.com/WeiqiangZhou/BIRD	2022.11.22	2022.11.22	2022.02.12	regression model	CAS	2019.08.20	None	0.356620028049115	28.70538194444440	5	27	Conventional high-throughput genomic technologies for mapping regulatory element activities in bulk samples such as ChIP-seq, DNase-seq and FAIRE-seq cannot analyze samples with small numbers of cells. The recently developed low-input and single-cell regulome mapping technologies such as ATAC-seq and single-cell ATAC-seq (scATAC-seq) allow analyses of small-cell-number and single-cell samples, but their signals remain highly discrete or noisy. Compared to these regulome mapping technologies, transcriptome profiling by RNA-seq is more widely used. Transcriptome data in single-cell and small-cell-number samples are more continuous and often less noisy. Here, we show that one can globally predict chromatin accessibility and infer regulatory element activities using RNA-seq. Genome-wide chromatin accessibility predicted by RNA-seq from 30 cells can offer better accuracy than ATAC-seq from 500 cells. Predictions based on single-cell RNA-seq (scRNA-seq) can more accurately reconstruct bulk chromatin accessibility than using scATAC-seq. Integrating ATAC-seq with predictions from RNA-seq increases the power and value of both methods. Thus, transcriptome-based prediction provides a new tool for decoding gene regulatory circuitry in samples with limited cell numbers.	Not Applicable	BIRD, ChromImpute	Global prediction of chromatin accessibility using small-cell-number and single-cell RNA-seq	46.16780953	28.44404402	10.14113613	None	6	Zhou W, Ji Z, Fang W, Ji H. Global prediction of chromatin accessibility using small-cell-number and single-cell RNA-seq. Nucleic acids research. 2019 Nov 4;47(19):e121-.	None
Wang2022	Python	0	review	review (cell type annotation)	A method evaluates the performance of five scATAC-seq annotation methods on both their classification accuracy and scalability using publicly available single-cell datasets from mouse and human tissues including brain, lung, kidney, PBMC and BMMC.	10.1101/2022.10.05.511014	Preprint	Preprint	https://github.com/AprilYuge/ATAC-annotation-benchmark	2022.11.22	2022.11.22	2022.11.01	not applicable	CAS	2022.10.05	None	0		2	6	As single-cell chromatin accessibility profiling methods advance, scATAC-seq has become ever more important in the study of candidate regulatory genomic regions and their roles underlying developmental, evolutionary and disease processes. At the same time, cell type annotation is critical in understanding the cellular composition of complex tissues and identifying potential novel cell types. However, most existing methods that can perform automated cell type annotation are designed to transfer labels from an annotated scRNA-seq data set to another scRNA-seq data set, and it is not clear whether these methods are adaptable to annotate scATAC-seq data. Several methods have been recently proposed for label transfer from scRNA-seq data to scATAC-seq data, but there is a lack of benchmarking study on the performance of these methods. Here, we evaluated the performance of five scATAC-seq annotation methods on both their classification accuracy and scalability using publicly available single-cell datasets from mouse and human tissues including brain, lung, kidney, PBMC and BMMC. Using the BMMC data as basis, we further investigated the performance of these methods across different data sizes, mislabeling rates, sequencing depths and the number of cell types unique to scATAC-seq. Bridge integration, which is the only method that requires additional multimodal data and does not need gene activity calculation, was overall the best method and robust to changes in data size, mislabeling rate and sequencing depth. Conos was the most time and memory efficient method but performed the worst in terms of prediction accuracy. scJoint tended to assign cells to similar cell types and performed relatively poorly for complex datasets with deep annotations but performed better for datasets only with major label annotations. The performance of scGCN and Seurat v3 was moderate, but scGCN was the most time-consuming method and had the most similar performance to random classifiers for cell types unique to scATAC-seq.	Not Applicable	Bridge integration, scJoint, scGCN, Seurat, Conos	Benchmarking Automated Cell Type Annotation Tools for Single-cell ATAC-seq Data	13.5825201	10.62153604	9.122093581	10.1101/2022.10.05.511014	5	Wang Y, Sun X, Zhao H. Benchmarking Automated Cell Type Annotation Tools for Single-cell ATAC-seq Data. bioRxiv. 2022 Jan 1.	None
DeepTFni	Python, Perl	4	regulatory network inference	regulatory network inference (gene-gene)	A new computational method named DeepTFni to infer TRNs from the single-cell assay for transposase-accessible chromatin using sequencing (scATAC-seq) data.	10.1038/s42256-022-00469-5	Nature Machine Intelligence	Published	https://github.com/sunyolo/DeepTFni	2022.11.22	2022.11.22	2022.07.25	variational autoencoder, graph neural network	CAS	2022.04.11	MIT	0		2	10	Sequence-specific transcription factors (TFs) are the key effectors of eukaryotic gene control and they regulate hundreds to thousands of downstream genes. Of particular interest are interactions in which a given TF regulates other TFs; these interactions define the TF regulatory networks (TRNs) that underlie cellular identity and major function. Chromatin accessibility depicts whether or not a DNA sequence is physically accessible and provides a direct measurement of transcriptional regulation. Benefiting from the accumulating chromatin accessibility data and deep learning advances, we developed a new computational method named DeepTFni to infer TRNs from the single-cell assay for transposase-accessible chromatin using sequencing (scATAC-seq) data. By implementing a graph neural network, which is more suitable for network representation, DeepTFni shows outstanding performance in TRN inference, which it supports with limited numbers of cells. Furthermore, by applying DeepTFni we identified hub TFs in tissue development and tumorigenesis and revealed that many mixed-phenotype acute leukemia associated genes undergo a prominent alteration to the TRN while there is moderate difference in messenger RNA level. The DeepTFni webserver is easy to use and has provided the predicted TRNs for several popular cell lines.	BioPerl, MAESTRO, fimo, torch	DeepWalk, GENIE3, GRNBoost2, SCENIC	Inferring transcription factor regulatory networks from single-cell ATAC-seq data based on graph neural networks	15.54234993	10.28690117	7.400033137	None	2	Li H, Sun Y, Hong H, Huang X, Tao H, Huang Q, Wang L, Xu K, Gan J, Chen H, Bo X. Inferring transcription factor regulatory networks from single-cell ATAC-seq data based on graph neural networks. Nature Machine Intelligence. 2022 Apr;4(4):389-400.	None
Hu2020	None	29	review	review (regulatory network inference)	An overview of current GRN reconstruction strategies utilizing different single-cell sequencing data.	10.1016/j.csbj.2020.06.033	Computational and Structural Biotechnology Journal	Published		2022.11.22	2022.11.22		not applicable	CAS	2020.06.29	None			4		The advancement of single-cell sequencing technology in recent years has provided an opportunity to reconstruct gene regulatory networks (GRNs) with the data from thousands of single cells in one sample. This uncovers regulatory interactions in cells and speeds up the discoveries of regulatory mechanisms in diseases and biological processes. Therefore, more methods have been proposed to reconstruct GRNs using single-cell sequencing data. In this review, we introduce technologies for sequencing single-cell genome, transcriptome, and epigenome. At the same time, we present an overview of current GRN reconstruction strategies utilizing different single-cell sequencing data. Bioinformatics tools were grouped by their input data type and mathematical principles for reader's convenience, and the fundamental mathematics inherent in each group will be discussed. Furthermore, the adaptabilities and limitations of these different methods will also be summarized and compared, with the hope to facilitate researchers recognizing the most suitable tools for them.	Not Applicable	SCODE, GRISLI, InferenceSnapshot, GENIE3, SINCERITIES, LEAP, PIDC, Scribe, SCNS toolkit, SCENIC, LinkedSOMs, coupledNMF, Seurat	Integration of single-cell multi-omics for gene regulatory network inference	6.208817287	2.842039216	10.11305882	None		Hu X, Hu Y, Wu F, Leung RW, Qin J. Integration of single-cell multi-omics for gene regulatory network inference. Computational and Structural Biotechnology Journal. 2020 Jan 1;18:1925-38.	None
MOJITOO	R, C++	1	dimensionality reduction, multi-omics integration	multi-omics integration (scRNA-seq, scATAC-seq), dimensionality reduction	An efficient method that is based on 37 canonical correlation analysis (CCA) to learn a shared latent space for any single-cell multimodal data protocol.	10.1093/bioinformatics/btac220	Bioinformatics	Published	https://github.com/CostaLab/MOJITOO	2022.11.19	2022.11.19	2022.06.30	canonical correlation analysis	CAS	2022.01.21	None	0		2	6	The advent of multi-modal single cell sequencing techniques have shed new light on molecular mechanisms by simultaneously inspecting transcriptomes, epigenomes and proteomes of the same cell. However, to date, the existing computational approaches for integration of multimodal single cell data are either computationally expensive, require the delineation of parameters or can only be applied to particular modalities. We present a single cell multi-modal integration method, named MOJITOO (Multi-mOdal Joint IntegraTion of cOmpOnents). MOJITOO uses canonical correlation analysis for a fast and parameter free detection of a shared representation of cells from multimodal single cell data. Moreover, estimated canonical components can be used for interpretation, i.e. association of modality specific molecular features with the latent space. We evaluate MOJITOO using bi- and tri-modal single cell data sets and show that MOJITOO outperforms existing methods regarding computational requirements, preservation of original latent spaces and clustering.	Seurat, Signac	WNN, MOFA, scAI, Liger, Schema	MOJITOO: a fast and universal method for integration of multimodal single-cell data	12.6133821	9.408525351	8.137850937	None	4	Cheng M, Li Z, Costa Filho IG. MOJITOO: a fast and universal method for integration of multimodal single cell data. bioRxiv. 2022 Jan 1.	None
PECA	None	131	regulatory network inference	regulatory network inference (gene-peak)	A statistical approachbased on paired expression and chromatin accessibility (PECA) dataacross diverse cellular contexts.	10.1073/pnas.170455311	PNAS	Published	http://web.stanford.edu/~zduren/PECA/	2022.11.19	2022.11.19		expectation-maximization algorithm	CAS	2017.06.02	None			7		The rapid increase of genome-wide datasets on gene expression, chromatin states, and transcription factor (TF) binding locations offers an exciting opportunity to interpret the information encoded in genomes and epigenomes. This task can be challenging as it requires joint modeling of context-specific activation of cis-regulatory elements (REs) and the effects on transcription of associated regulatory factors. To meet this challenge, we propose a statistical approach based on paired expression and chromatin accessibility (PECA) data across diverse cellular contexts. In our approach, we model (i) the localization to REs of chromatin regulators (CRs) based on their interaction with sequence-specific TFs, (ii) the activation of REs due to CRs that are localized to them, and (iii) the effect of TFs bound to activated REs on the transcription of target genes (TGs). The transcriptional regulatory network inferred by PECA provides a detailed view of how trans- and cis-regulatory elements work together to affect gene expression in a context-specific manner. We illustrate the feasibility of this approach by analyzing paired expression and accessibility data from the mouse Encyclopedia of DNA Elements (ENCODE) and explore various applications of the resulting model.	Not Applicable	None	Modeling gene regulation from paired expression and chromatin accessibility data	0.811263801	1.364428258	2.046642387	None		Duren Z, Chen X, Jiang R, Wang Y, Wong WH. Modeling gene regulation from paired expression and chromatin accessibility data. Proceedings of the National Academy of Sciences. 2017 Jun 20;114(25):E4914-23.	None
Miao2021	None	31	review	review (multi-omics integration)	A review of developments in computational methods for multi-omics data integration.	10.1038/s41581-021-00463-x	Nature Reviews Nephrology	Published		2022.11.19	2022.11.19		not applicable	CAS,Meth	2021.08.20	None			3		An explosion in single-cell technologies has revealed a previously underappreciated heterogeneity of cell types and novel cell-state associations with sex, disease, development and other processes. Starting with transcriptome analyses, single-cell techniques have extended to multi-omics approaches and now enable the simultaneous measurement of data modalities and spatial cellular context. Data are now available for millions of cells, for whole-genome measurements and for multiple modalities. Although analyses of such multimodal datasets have the potential to provide new insights into biological processes that cannot be inferred with a single mode of assay, the integration of very large, complex, multimodal data into biological models and mechanisms represents a considerable challenge. An understanding of the principles of data integration and visualization methods is required to determine what methods are best applied to a particular single-cell dataset. Each class of method has advantages and pitfalls in terms of its ability to achieve various biological goals, including cell-type classification, regulatory network modelling and biological process inference. In choosing a data integration strategy, consideration must be given to whether the multi-omics data are matched (that is, measured on the same cell) or unmatched (that is, measured on different cells) and, more importantly, the overall modelling and visualization goals of the integrated analysis.	Not Applicable	None	Multi-omics integration in the age of million single-cell data	1.177412657	1.770570206	2.65585531	None		Miao Z, Humphreys BD, McMahon AP, Kim J. Multi-omics integration in the age of million single-cell data. Nature Reviews Nephrology. 2021 Nov;17(11):710-24.	None
scMultiSim	None	0	simulation	simulation	A unified framework where all these biological factors and modalities are modelled and simulated while considering the cross-modality relationships.	10.1101/2022.10.15.512320	Preprint	Preprint		2022.11.19	2022.11.19		parametric statistical method	CAS	2022.10.18	None			2		Simulated single-cell data is widely used to aid in designing and benchmarking computational methods due to the scarcity of experimental ground truth. Recently, an increasing number of computational methods have been developed to address various computational problems with single-cell data, including cell clustering, trajectory inference, integration of data from multiple batches and modalities, inference of gene regulatory networks (GRNs) and cell-cell interactions. Simulators that are designed to test a certain computational problem model only the particular factors that affect the output data; whereas modelling as many biological factors as possible into the simulation allows the generated data to have realistic complexity and can be used to benchmark a wider range of computational methods. Here, we present scMultiSim, an in silico simulator that generates multi-modality data of single-cells, including gene expression, chromatin accessibility, RNA velocity, and spatial cell locations while accounting for the relationships between modalities. We proposed a unified framework to jointly model biological factors including cell-cell interactions, with-in-cell GRNs and chromatin accessibility, so all their effects simultaneously present in the output data. Users enjoy unprecedented flexibility by having full control of the cell population and the ability to fine-tune each factor’s effect on the underlying model. We also provide options to simulate technical variations including batch effects to make the output resemble real data. We verified the simulated biological effects and demonstrated scMultiSim’s applications by benchmarking four computational tasks on single-cell multi-omics data: GRN inference, RNA velocity estimation, integration of single-cell datasets from multiple batches and modalities, and analysis of cell-cell interaction using the cell spatial location data. To our knowledge, scMultiSim is the only simulator of single cell data that can perform benchmarking for all these four challenging computational tasks.	Not Applicable	dyngen	scMultiSim: simulation of multi-modality single cell data guided by cell-cell interactions and gene regulatory networks	2.328417566	2.937890089	4.056835133	10.1101/2022.10.15.512320	1	Li H, Zhang Z, Squires M, Chen X, Zhang X. scMultiSim: simulation of multi-modality single cell data guided by cell-cell interactions and gene regulatory networks. bioRxiv. 2022 Jan 1.	None
FigR	R	3	regulatory network inference	regulatory network inference (gene-peak)	A generalizable approach for independently or concomitantly profiled single-cell ATAC-seq (scATAC-seq) and scRNA-seq.	10.1016/j.xgen.2022.100166	Cell Genomics	Published	https://github.com/buenrostrolab/FigR	2022.11.19	2022.11.19	2022.11.10	k-nearest neighbor	CAS	2022.09.14	MIT	0.8607656722696620	26.41523148148150	2	12	Cells require coordinated control over gene expression when responding to environmental stimuli. Here we apply scATAC-seq and single-cell RNA sequencing (scRNA-seq) in resting and stimulated human blood cells. Collectively, we generate _x0001_91,000 single-cell profiles, allowing us to probe the cis-regulatory landscape of the immunological response across cell types, stimuli, and time. Advancing tools to integrate multi-omics data, we develop functional inference of gene regulation (FigR), a framework to computationally pair scATAC-seq with scRNA-seq cells, connect distal cis-regulatory elements to genes, and infer gene-regulatory networks (GRNs) to identify candidate transcription factor (TF) regulators. Utilizing these paired multi-omics data, we define domains of regulatory chromatin (DORCs) of immune stimulation and find that cells alter chromatin accessibility and gene expression at timescales of minutes. Construction of the stimulation GRN elucidates TF activity at disease-associated DORCs. Overall, FigR enables elucidation of regulatory interactions across single-cell data, providing new opportunities to understand the function of cells within tissues.	chromVAR, motifmatchr	None	Functional inference of gene regulation using single-cell multi-omics	23.40790511	13.73042427	5.971246008	None	1	Kartha VK, Duarte FM, Hu Y, Ma S, Chew JG, Lareau CA, Earl A, Burkett ZD, Kohlway AS, Lebofsky R, Buenrostro JD. Functional inference of gene regulation using single-cell multi-omics. Cell genomics. 2022 Sep 14;2(9):100166.	Homo sapiens, PBMC
Chappell2018	None	142	review	review (sequencing technology)	An overview of single-cell omics and multiomics methods, including recently developed protocols.	10.1146/annurev-genom-091416-035324	Annual Review of Genomics and Human Genetics	Published		2022.11.19	2022.11.19		not applicable	CAS,CIS,Meth,Hist	2018.05.04	None			6		Single-cell multiomics technologies typically measure multiple types of molecule from the same individual cell, enabling more profound biological insight than can be inferred by analyzing each molecular layer from separate cells. These single-cell multiomics technologies can reveal cellular heterogeneity at multiple molecular layers within a population of cells and reveal how this variation is coupled or uncoupled between the captured omic layers. The data sets generated by these techniques have the potential to enable a deeper understanding of the key biological processes and mechanisms driving cellular heterogeneity and how they are linked with normal development and aging as well as disease etiology. This review details both established and novel single-cell mono- and multiomics technologies and considers their limitations, applications, and likely future developments.	Not Applicable	None	Single-Cell (Multi) omics Technologies	0.865335147	1.441158335	2.161737502	None		Chappell L, Russell AJ, Voet T. Single-cell (multi) omics technologies. Annual review of genomics and human genetics. 2018 Aug 31;19:15-41.	None
Hu2018	None	125	review	review (sequencing technology), review (sequencing application)	An overview summarizing current single cell multi-omics approaches.	10.3389/fcell.2018.00028	Frontiers in Cell and Developmental Biology	Published		2022.11.19	2022.11.19		not applicable	CAS,Meth,Hist	2018.04.20	None			6		In the era of precision medicine, multi-omics approaches enable the integration of data from diverse omics platforms, providing multi-faceted insight into the interrelation of these omics layers on disease processes. Single cell sequencing technology can dissect the genotypic and phenotypic heterogeneity of bulk tissue and promises to deepen our understanding of the underlying mechanisms governing both health and disease. Through modification and combination of single cell assays available for transcriptome, genome, epigenome, and proteome profiling, single cell multi-omics approaches have been developed to simultaneously and comprehensively study not only the unique genotypic and phenotypic characteristics of single cells, but also the combined regulatory mechanisms evident only at single cell resolution. In this review, we summarize the state-of-the-art single cell multi-omics methods and discuss their applications, challenges, and future directions.	Not Applicable	None	Single Cell Multi-Omics Technology: Methodology and Application	0.860213979	1.427001378	2.140502067	None		Hu Y, An Q, Sheu K, Trejo B, Fan S, Guo Y. Single cell multi-omics technology: methodology and application. Frontiers in cell and developmental biology. 2018 Apr 20;6:28.	None
bridge integration	R	6	multi-omics integration	multi-omics integration (scRNA-seq, scATAC-seq, snmC-seq, scCUT&Tag, CyTOF)	A method to harmonize singlecell datasets across modalities by leveraging a multi-omic dataset as a molecular bridge.	10.1101/2022.02.24.481684	Preprint	Preprint	http://www.satijalab.org/seurat	2022.11.19	2022.11.19		not applicable	CAS,Meth,Hist	2022.02.26	None			2		Mapping single-cell sequencing profiles to comprehensive reference datasets represents a powerful alternative to unsupervised analysis. Reference datasets, however, are predominantly constructed from single-cell RNA-seq data, and cannot be used to annotate datasets that do not measure gene expression. Here we introduce ‘bridge integration’, a method to harmonize singlecell datasets across modalities by leveraging a multi-omic dataset as a molecular bridge. Each cell in the multi-omic dataset comprises an element in a ‘dictionary’, which can be used to reconstruct unimodal datasets and transform them into a shared space. We demonstrate that our procedure can accurately harmonize transcriptomic data with independent single cell measurements of chromatin accessibility, histone modifications, DNA methylation, and protein levels. Moreover, we demonstrate how dictionary learning can be combined with sketching techniques to substantially improve computational scalability, and harmonize 8.6 million human immune cell profiles from sequencing and mass cytometry experiments. Our approach aims to broaden the utility of s	Not Applicable	None	Dictionary learning for integrative, multimodal, and scalable single-cell analysis	1.269015909	1.80470095	2.707051426	10.1101/2022.02.24.481684		Hao Y, Stuart T, Kowalski M, Choudhary S, Hoffman P, Hartman A, Srivastava A, Molla G, Madad S, Fernandez-Granda C, Satija R. Dictionary learning for integrative, multimodal, and scalable single-cell analysis. bioRxiv. 2022 Jan 1.	None
SOMatic	C++, R	44	multi-omics integration	multi-omics integration (scRNA-seq, scATAC-seq)	A novel approach using self-organizing maps (SOM) to link scATAC-seq regions with scRNA-seq genes that overcomes these challenges and can generate draft regulatory networks.	10.1371/journal.pcbi.1006555	PLOS Computational Biology	Published	https://github.com/csjansen/SOMatic	2022.11.21	2022.11.21	2022.08.05	not applicable	CAS	2019.11.04	GPL	0.3416887955702170	29.95162037037040	5	14	Rapid advances in single-cell assays have outpaced methods for analysis of those data types. Different single-cell assays show extensive variation in sensitivity and signal to noise levels. In particular, scATAC-seq generates extremely sparse and noisy datasets. Existing methods developed to analyze this data require cells amenable to pseudo-time analysis or require datasets with drastically different cell-types. We describe a novel approach using self-organizing maps (SOM) to link scATAC-seq regions with scRNA-seq genes that overcomes these challenges and can generate draft regulatory networks. Our SOMatic package generates chromatin and gene expression SOMs separately and combines them using a linking function. We applied SOMatic on a mouse pre-B cell differentiation time-course using controlled Ikaros over-expression to recover gene ontology enrichments, identify motifs in genomic regions showing similar single-cell profiles, and generate a gene regulatory network that both recovers known interactions and predicts new Ikaros targets during the differentiation process. The ability of linked SOMs to detect emergent properties from multiple types of highly-dimensional genomic data with very different signal properties opens new avenues for integrative analysis of heterogeneous data.	Not Applicable	None	Building gene regulatory networks from scATAC-seq and scRNA-seq using Linked Self Organizing Maps	46.17250135	22.80698733	7.396452468	None	1	Jansen C, Ramirez RN, El-Ali NC, Gomez-Cabrero D, Tegner J, Merkenschlager M, Conesa A, Mortazavi A. Building gene regulatory networks from scATAC-seq and scRNA-seq using linked self organizing maps. PLoS computational biology. 2019 Nov 4;15(11):e1006555.	None
Li2021	None	21	review	review (sequencing technology), review (multi-omics integration)	A survey of the computational approaches for integrative analysis of bulk and single-cell multimodal data.	10.1093/bib/bbab024	Briefings in Bioinformatics	Published		2022.11.21	2022.11.21		not applicable	CAS,CIS,Meth,Hist	2021.03.27	None			2		Multi-omics allows the systematic understanding of the information flow across different omics layers, while single omics can mainly reflect one aspect of the biological system. The advancement of bulk and single-cell sequencing technologies and related computational methods for multi-omics largely facilitated the development of system biology and precision medicine. Single-cell approaches have the advantage of dissecting cellular dynamics and heterogeneity, whereas traditional bulk technologies are limited to individual/population-level investigation. In this review, we first summarize the technologies for producing bulk and single-cell multi-omics data. Then, we survey the computational approaches for integrative analysis of bulk and single-cell multimodal data, respectively. Moreover, the databases and data storage for multi-omics, as well as the tools for visualizing multimodal data are summarized. We also outline the integration between bulk and single-cell data, and discuss the applications of multi-omics in precision medicine. Finally, we present the challenges and perspectives for multi-omics development.	Not Applicable	None	Advances in bulk and single-cell multi-omics approaches for systems biology and precision medicine	1.099661793	1.645205415	2.467808123	None		Li Y, Ma L, Wu D, Chen G. Advances in bulk and single-cell multi-omics approaches for systems biology and precision medicine. Briefings in Bioinformatics. 2021 Sep;22(5):bbab024.	None
Lee2020	None	171	review	review (sequencing technology), review (multi-omics integration)	An overview summarizing the technologies for single-cell multiomics analyses (mRNA- genome, mRNA-DNA methylation, mRNA-chromatin accessibility, and mRNA-protein) as well as the methods for the integrative analysis of single-cell multiomics data.	10.1038/s12276-020-0420-2	Experimental & Molecular Medicine	Published		2022.11.21	2022.11.21		not applicable	CAS,Meth	2020.09.15	None			4		Advances in single-cell isolation and barcoding technologies offer unprecedented opportunities to profile DNA, mRNA, and proteins at a single-cell resolution. Recently, bulk multiomics analyses, such as multidimensional genomic and proteogenomic analyses, have proven beneficial for obtaining a comprehensive understanding of cellular events. This benefit has facilitated the development of single-cell multiomics analysis, which enables cell type-specific gene regulation to be examined. The cardinal features of single-cell multiomics analysis include (1) technologies for single-cell isolation, barcoding, and sequencing to measure multiple types of molecules from individual cells and (2) the integrative analysis of molecules to characterize cell types and their functions regarding pathophysiological processes based on molecular signatures. Here, we summarize the technologies for single-cell multiomics analyses (mRNA-genome, mRNA-DNA methylation, mRNA-chromatin accessibility, and mRNA-protein) as well as the methods for the integrative analysis of single-cell multiomics data.	Not Applicable	None	Single-cell multiomics: technologies and data analysis methods	1.071725402	1.727037662	2.590556493	None		Lee J, Hyeon DY, Hwang D. Single-cell multiomics: technologies and data analysis methods. Experimental & Molecular Medicine. 2020 Sep;52(9):1428-42.	None
Ma2020	None	95	review	review (multi-omics integration)	An overview of integrative methods and the existing tools for studying a variety of scMulti-omics data.	10.1016/j.tibtech.2020.02.013	Trends in Biotechnology	Published		2022.11.21	2022.11.21		not applicable	CAS,CIS,Meth	2020.08.19	None			4		Fast-developing single-cell multimodal omics (scMulti-omics) technologies enable the measurement of multiple modalities, such as DNA methylation, chromatin accessibility, RNA expression, protein abundance, gene perturbation, and spatial information, from the same cell. scMulti-omics can comprehensively explore and identify cell characteristics, while also presenting challenges to the development of computational methods and tools for integrative analyses. Here, we review these integrative methods and summarize the existing tools for studying a variety of scMulti-omics data. The various functionalities and practical challenges in using the available tools in the public domain are explored through several case studies. Finally, we identify remaining challenges and future trends in scMulti-omics modeling and analyses.	Not Applicable	None	Integrative Methods and Practical Challenges for Single-Cell Multi-omics	1.05017544	1.664536752	2.496805127	None		Ma A, McDermaid A, Xu J, Chang Y, Ma Q. Integrative methods and practical challenges for single-cell multi-omics. Trends in biotechnology. 2020 Sep 1;38(9):1007-22.	None
Efremova2020	None	97	review	review (multi-omics integration)	An overview highlighting state-of-the-art computational methods for multimodal omics analysis and discuss their applications, including lineage relationships, gene- regulatory and signaling networks inference, and spatial context.	10.1038/s41592-019-0692-4	Nature Methods	Published		2022.11.21	2022.11.21		not applicable	CAS,Meth	2020.01.06	None			4		Single-cell omics approaches provide high-resolution data on cellular phenotypes, developmental dynamics  and communication networks in diverse tissues and conditions. Emerging technologies now measure different modalities of individual cells, such as genomes, epigenomes, transcriptomes and proteomes, in addition to spatial profiling. Combined with analytical approaches, these data open new avenues for accurate reconstruction of gene-regulatory and signaling networks driving cellular identity and function. Here we summarize computational methods for analysis and integration of single-cell omics data across different modalities and discuss their applications, challenges and future directions. 	Not Applicable	None	Computational methods for single-cell omics across modalities	0.985045381	1.578890652	2.368335977	None		Efremova M, Teichmann SA. Computational methods for single-cell omics across modalities. Nature methods. 2020 Jan;17(1):14-7.	None
